id,province,urban,hh_size,true_income,reported_income,utility_kwh,mobile_money,poor_true,split
27,Punjab,0,5,83345.76989576498,68348.60941332685,112.03977303989438,0,0,train
28,Khyber Pakhtunkhwa,0,10,38985.507836882905,35823.22375512599,119.10953277297787,0,1,train
29,Punjab,0,5,93410.09792969104,72946.13278099227,145.10451109160613,1,0,train
30,Khyber Pakhtunkhwa,0,5,10156.633815628891,10865.711712601777,58.765188244939836,0,1,train
31,Sindh,0,2,17963.4332422103,14140.749761716104,10,0,1,test
32,Khyber Pakhtunkhwa,0,5,29644.166925604783,28322.309798942108,58.801001403441575,1,1,train
33,Punjab,0,5,25931.31781619866,27459.661942419425,32.737553324923674,1,1,train
34,Sindh,1,9,52282.57182751223,38617.01578452113,93.89474434742928,0,0,train
35,Punjab,0,2,61437.97843618393,53038.83011422583,123.67327223365604,0,0,test
36,Khyber Pakhtunkhwa,1,3,83655.990480892,76290.82855878124,104.05830546777284,0,0,test
37,Punjab,0,6,63169.44439774991,41481.20273565167,98.45177363962162,0,0,train
38,Punjab,1,3,18290.60789980432,15726.595620378615,10,1,1,train
39,Khyber Pakhtunkhwa,0,4,25406.404677250506,21899.608348673402,50.517997047752246,1,1,train
40,Sindh,1,7,44295.60081213363,32413.261926313968,70.98721241983733,1,0,train
41,Punjab,1,6,24703.22535120074,19922.03051442237,42.73454202495659,1,1,train
42,Punjab,0,3,26417.124819718607,26766.106319241022,49.58207765871376,1,1,train
43,Punjab,0,7,21193.751950454145,13523.25034284164,83.21988879460318,0,1,train
44,Balochistan,0,7,35073.92887500342,28269.619676230923,149.11300036031886,0,1,train
45,Punjab,0,5,70330.36615018231,62815.40716503206,119.46321095565668,0,0,test
46,Balochistan,1,2,12975.308707027347,9935.492718536188,22.868742659484095,1,1,train
47,Khyber Pakhtunkhwa,0,7,34324.93123093674,31566.44205045909,115.03161662013216,0,1,train
48,Sindh,1,3,16200.807328939543,11048.948644958411,96.86035288647106,1,1,train
49,Balochistan,1,5,27181.603117540693,26925.679424583937,85.2899147490382,1,1,train
50,Sindh,0,8,24374.691862943084,19077.15081974244,133.8057751225681,1,1,test
51,Punjab,1,5,22084.07274877644,20112.454516816397,33.64176844544409,1,1,train
52,Punjab,0,4,25007.559688828707,19105.882478068444,54.052495025855194,0,1,train
53,Punjab,0,6,82052.67159677367,59042.18343251624,106.74421171804053,0,0,test
54,Khyber Pakhtunkhwa,1,4,53229.723891050024,34826.22409696467,75.81633925944094,0,0,train
55,Punjab,0,5,34303.70230051061,23205.64028585384,65.32221621367859,1,1,train
56,Sindh,1,2,23543.905376514875,14356.430798722868,90.26132206148215,1,1,test
57,Sindh,1,4,33466.52273024149,25017.965952562212,94.11462476135297,0,1,test
58,Punjab,1,3,32855.04229761862,28133.969829207887,36.93194919814224,0,1,train
59,Punjab,0,3,66527.28270050422,57349.7800785651,39.75725725793104,0,0,train
60,Punjab,0,5,38374.265886779824,30767.830874987103,62.16734962826664,1,1,train
61,Sindh,1,7,34358.22538156455,27642.54594363398,127.04760790784843,1,1,test
62,Balochistan,1,3,24529.400939059524,20636.604545512822,39.83301645453811,0,1,train
63,Sindh,0,10,9644.847623533838,13441.719886935865,112.04028277477127,0,1,test
64,Sindh,1,5,23040.037251916474,23816.35943639636,83.97328683340407,0,1,train
65,Khyber Pakhtunkhwa,0,7,20122.12858763909,16827.68381943111,110.89711331732536,0,1,train
66,Punjab,1,3,17351.054194233016,17531.76734730978,63.345634459086625,0,1,test
67,Punjab,0,7,70082.1269267705,54022.77335659134,66.72895673857514,0,0,train
68,Khyber Pakhtunkhwa,0,4,64561.167115719436,45975.11163044543,127.65940010421309,0,0,train
69,Sindh,1,4,22730.491239953586,22594.100915083058,71.13533913893228,0,1,test
70,Punjab,1,10,50746.939977171154,40489.170936529525,149.28753786306572,0,0,train
71,Punjab,0,5,43454.820385316096,35955.23330681846,96.20940871155462,0,0,test
72,Punjab,1,2,39930.26661075597,32667.199473398457,25.88512256742545,1,1,train
73,Punjab,0,5,90097.10768861954,76337.8650127853,144.96152674878465,0,0,test
74,Punjab,0,6,11254.254843886209,10344.60075899558,98.40783024573216,0,1,test
75,Punjab,1,6,31160.889374568345,35215.06299238052,120.02464188798348,0,1,train
76,Sindh,0,3,68637.01029179369,61950.469471155215,75.05554717722863,0,0,train
77,Punjab,0,4,19650.503697046228,15828.523662779495,98.57493801857862,1,1,train
78,Punjab,0,3,14293.90393080362,10536.813631114754,34.570989035320565,0,1,train
79,Punjab,1,3,25558.071526835978,21829.295577616896,47.59874406715337,1,1,test
80,Punjab,1,6,53647.99080216866,37799.03489515729,126.17817184259896,0,0,test
81,Sindh,0,5,29194.97501255052,31725.258951642812,24.629681621636593,0,1,train
82,Punjab,0,9,12737.14751345844,10338.706385102914,100.17631397800882,0,1,test
83,Punjab,1,12,58091.31598414904,41964.21522486511,182.0074638382089,1,0,train
84,Sindh,0,7,33265.60307072478,32956.433775001366,88.8441033417932,0,1,train
85,Sindh,0,4,52717.46045906879,37942.56566846144,82.46235889436805,0,0,train
86,Sindh,1,7,19901.274054605638,20237.34192308176,54.9120690441562,0,1,train
87,Punjab,0,7,44290.14172303212,34754.393170958916,124.56693210710723,0,0,test
88,Punjab,0,7,13678.490952943337,10778.990994087568,153.33893681736845,0,1,train
89,Punjab,1,2,40478.45489759339,34203.697449551386,113.12105124521884,1,0,train
90,Punjab,0,4,37086.7423641473,35810.573288148444,141.36989578016403,1,1,test
91,Sindh,1,13,11591.43187694711,10021.61409296723,90.6438195176928,0,1,train
92,Punjab,1,6,53766.093804606215,45899.47195984545,115.61621662456574,1,0,test
93,Punjab,0,2,9944.153249960189,10961.691209835284,54.882224469919386,0,1,train
94,Khyber Pakhtunkhwa,1,6,14700.399927918626,10043.89166892046,73.65932211844256,1,1,test
95,Khyber Pakhtunkhwa,1,5,65716.09366352076,45012.15147304604,95.58299444006785,1,0,test
96,Sindh,0,5,28369.006962522853,18889.403256752455,73.7726100475808,0,1,test
97,Punjab,1,5,49432.741616918516,44201.4932343148,79.43301400699458,0,0,train
98,Punjab,1,1,33649.1262256699,29838.135834981385,10,0,1,train
99,Sindh,0,4,7343.466589868503,3323.9191720519866,30.84676850777724,0,1,train
100,Sindh,0,8,10860.413531796143,11600.036217338511,150.8781826861927,0,1,train
101,Sindh,0,2,14503.228140034158,16087.156919807749,57.367634380346104,0,1,test
102,Punjab,0,6,19562.813037340948,20103.369750975813,69.33668633238054,0,1,test
103,Punjab,1,3,46824.172965531434,40316.14971348391,84.39091731383617,0,0,train
104,Punjab,1,4,16541.719508154663,11719.919608481208,56.50256194588497,1,1,train
105,Balochistan,0,7,20815.170257398648,17932.211883241016,79.6254296680162,0,1,train
106,Balochistan,1,6,39548.10348394585,29841.9145090886,68.66329490004779,1,1,test
107,Sindh,1,5,20397.39053987665,19398.425720892163,67.21134362023184,1,1,train
108,Sindh,0,3,99358.65061833,75563.19576363011,130.70182588337482,1,0,test
109,Punjab,0,5,26194.505728124957,22566.064577997928,47.395667706485455,0,1,train
110,Punjab,0,4,90624.85944117412,83623.01568087007,82.94120866832122,0,0,train
111,Sindh,0,6,24213.166474236506,18555.468210876796,76.12409665747695,0,1,train
112,Khyber Pakhtunkhwa,0,1,12271.934009731393,14376.58564198929,10,0,1,train
113,Sindh,0,5,108465.92829900725,83597.75369595869,93.53450894115146,0,0,test
114,Punjab,1,8,76973.82066020365,54410.219844064326,103.84174616894637,0,0,train
115,Punjab,0,5,59360.04403729514,51250.78789454306,115.19922910391814,0,0,train
116,Punjab,0,6,136088.38447722053,124018.28281511886,176.9052880438843,0,0,train
117,Punjab,1,7,50691.12924180154,35972.73305441271,119.95851298066567,1,0,train
118,Punjab,1,5,32713.152984907636,30017.79675944337,125.62098054321963,0,1,train
119,Sindh,1,6,43174.55834039962,31496.757492934496,90.72812969214276,1,0,train
120,Khyber Pakhtunkhwa,0,3,8254.109717563928,8665.880335507796,52.24645697384591,1,1,train
121,Punjab,0,8,7518.604721814968,3000,86.3448599525682,1,1,train
122,Punjab,0,2,35635.293289208974,32604.366769108994,112.00198647275643,0,1,train
123,Sindh,0,5,21024.146979541867,21054.47509256875,77.66410825853863,0,1,train
124,Sindh,1,8,55252.8129300091,45973.50741242847,132.43665835876183,1,0,test
125,Sindh,1,6,21456.541524610915,16227.220684342086,72.36186188865628,1,1,train
126,Punjab,0,3,105511.99489249321,82412.61336813714,144.57278456575526,0,0,train
127,Khyber Pakhtunkhwa,1,1,26403.348417153946,26837.94723259958,108.32527142878136,1,1,test
128,Balochistan,0,5,3752.7754797376433,8891.648120224196,10,0,1,test
129,Punjab,0,8,103314.35383844412,82565.12480735683,182.16003155164395,0,0,test
130,Sindh,0,3,41050.89808608113,37872.85872229341,10,0,0,train
131,Khyber Pakhtunkhwa,0,7,30051.79654114133,27737.568313824355,138.4329918987814,0,1,train
132,Sindh,1,4,22804.7922992239,18873.888262081473,10,0,1,train
133,Sindh,1,4,55797.51169922093,38089.37897230414,44.773690049681775,0,0,train
134,Khyber Pakhtunkhwa,1,5,44419.4651405049,24406.50585465932,94.54447738467448,0,0,train
135,Khyber Pakhtunkhwa,0,10,56139.311632210134,50178.542913639176,136.64201063940953,1,0,train
136,Sindh,0,6,34820.78796165679,32333.990953004624,107.0587817820609,0,1,train
137,Khyber Pakhtunkhwa,1,4,27380.862116856933,27004.482113270948,44.77102721310686,0,1,train
138,Punjab,0,4,34857.08832860609,30328.567585386245,22.19452604080614,1,1,test
139,Sindh,1,6,11283.875175168841,9443.128710546574,89.27312451874765,1,1,train
140,Sindh,1,2,40744.534641475664,27639.634901853682,12.171016724759703,1,0,train
141,Punjab,0,2,22966.379289945664,25177.70577942599,12.456786916534607,0,1,train
142,Punjab,0,2,124291.93429761723,79723.75808283225,132.4150360713306,0,0,train
143,Punjab,1,5,26342.193228243283,19852.69866952009,100.49408998579355,1,1,test
144,Sindh,1,5,45345.72929178508,33602.04774155772,128.79199058925025,1,0,train
145,Sindh,1,3,17944.79837812061,15255.729075168201,55.87056011912664,1,1,train
146,Khyber Pakhtunkhwa,0,5,12558.170999627338,14704.708883514786,54.708114191821515,1,1,train
147,Punjab,1,3,11449.36981103069,9535.320514658955,63.827385210419436,1,1,train
148,Balochistan,0,4,13827.337093701917,12724.58348668083,86.47049188365,0,1,train
149,Punjab,0,10,9208.210949546763,12532.104399713588,78.82557060559259,0,1,test
150,Punjab,0,5,32456.433468784933,27886.84935605075,26.85535052785354,1,1,test
151,Sindh,0,8,23721.700864049584,17129.494171842154,65.09200390462028,0,1,train
152,Punjab,0,7,13818.685626893188,11069.327638952327,106.12474485184002,0,1,train
153,Sindh,0,3,44379.94465941753,40093.51406993406,98.87944138503111,1,0,train
154,Punjab,1,5,28978.312058246567,29342.882856074837,143.33422163161413,0,1,test
155,Sindh,0,7,4694.244610706625,3000,22.867249498445766,0,1,test
156,Sindh,1,8,17165.057998360495,6045.724442572951,143.81907155382675,1,1,train
157,Punjab,0,7,35180.13955618962,26139.89835502164,62.88908115936081,1,1,test
158,Punjab,1,7,12811.751371358041,11196.69019256132,15.443914141850627,0,1,train
159,Punjab,0,6,35403.79785993273,28573.997556489372,75.73662404440543,1,1,train
160,Sindh,0,4,42596.87172273609,29741.35972459132,88.40102928764499,0,0,train
161,Khyber Pakhtunkhwa,1,5,14065.905048866927,11235.887158097887,75.77628586922638,0,1,train
162,Sindh,1,4,31051.26768262227,27593.810002590762,99.55810546120387,0,1,test
163,Sindh,0,5,53241.21509953885,35874.35298854915,77.85511316003891,0,0,train
164,Punjab,1,5,39748.695556554994,37149.417931224285,67.14218159596474,1,1,test
165,Punjab,0,7,89144.8951097789,56830.489188084415,155.7852355135968,1,0,test
166,Punjab,0,3,43713.329749373515,30637.73371671364,75.10242088919658,1,0,train
167,Punjab,1,4,38965.46894017191,31175.469285292922,78.2793208597314,1,1,train
168,Punjab,0,6,17475.34410573487,12581.151364096233,113.20274260551432,1,1,train
169,Punjab,0,9,38945.33960715548,36784.92206539141,141.88640333504446,0,1,train
170,Punjab,1,9,5647.303034121636,4453.795626239298,136.89446636815384,1,1,test
171,Sindh,0,5,41417.28675150176,37467.43165780495,66.25512301702389,0,0,train
172,Punjab,0,5,25191.901470217774,17084.147588908585,29.371316896209123,1,1,test
173,Punjab,0,8,28670.679496399847,24680.468693115738,95.46765399161083,0,1,test
174,Punjab,0,6,38410.82182557984,32177.38897180419,122.90622401783843,0,1,test
175,Punjab,0,5,23033.053522177772,22246.893226592692,33.924008042078036,0,1,train
176,Punjab,0,6,32743.00886253894,24579.794857819656,80.65307131426161,0,1,test
177,Khyber Pakhtunkhwa,0,3,30321.084352748196,31545.769853849666,32.8553725297933,0,1,train
178,Sindh,0,5,16374.435516870906,14745.272149921924,60.087814065237055,0,1,train
179,Khyber Pakhtunkhwa,0,5,16332.260418972248,11107.563231214583,91.92984036079704,0,1,test
180,Sindh,0,2,18772.911508813206,15767.979954255889,10,0,1,train
181,Khyber Pakhtunkhwa,1,6,31321.349823730263,25032.906300904102,79.47436763091817,1,1,test
182,Khyber Pakhtunkhwa,0,2,59906.061194439855,41286.89699620213,65.51154417907294,0,0,train
183,Punjab,1,4,30323.45863593068,22055.769578991738,42.98825478617128,0,1,train
184,Punjab,0,5,36774.481130818574,35825.6177395367,74.40022522607373,0,1,train
185,Sindh,0,4,15707.525507904822,12648.608946512142,65.46032336332632,0,1,test
186,Sindh,0,5,33495.73529113818,33643.00217734154,109.37729214978836,1,1,train
187,Khyber Pakhtunkhwa,0,6,23039.85554169597,20993.244332712242,127.6766231724433,1,1,test
188,Khyber Pakhtunkhwa,0,4,34501.38977526618,31966.886882268667,70.23454253372302,1,1,test
189,Punjab,1,6,15158.235586130875,13591.48746971993,88.19307393557519,0,1,train
190,Punjab,0,6,37457.84599007457,38224.8298187551,95.61189663427533,1,1,train
191,Punjab,0,7,23413.080694913493,18657.49305802386,93.70761054442302,0,1,train
192,Khyber Pakhtunkhwa,1,4,87443.97142663234,60950.00929877481,125.10752936488797,1,0,train
193,Punjab,1,6,34380.6879160607,30835.573153949194,61.97131600303024,0,1,train
194,Punjab,0,5,16198.542693713749,14372.47060036516,20.948106363400832,0,1,test
195,Punjab,1,7,42932.0741770605,32144.19930803864,50.18607374178333,0,0,train
196,Punjab,0,4,22353.133794410805,13468.425657371994,87.84967533686893,1,1,train
197,Punjab,1,4,15330.460534889107,13609.504323033385,54.81830225017856,1,1,train
198,Punjab,0,4,31891.23553476596,29568.026852890027,44.42147536009399,0,1,train
199,Sindh,1,9,25161.09453971836,27987.738249114835,135.75795896697414,1,1,test
200,Sindh,0,8,41216.41728611068,29071.69075026678,160.50313612821205,0,0,test
201,Khyber Pakhtunkhwa,0,6,44975.77967166152,40324.74254059697,56.63927711282689,1,0,train
202,Punjab,0,6,19203.823294792877,15444.778830078698,65.55295337294696,0,1,train
203,Khyber Pakhtunkhwa,1,4,3932.0114133254515,4964.799854436751,51.91026494942587,0,1,train
204,Punjab,0,2,20831.70172388174,19598.026940786025,37.26282471592407,1,1,test
205,Punjab,0,4,13335.300162638587,10352.94675227353,65.79352873417373,0,1,test
206,Punjab,0,3,25447.712475698037,26188.684136695083,39.37747001100719,0,1,test
207,Balochistan,1,2,20036.119213081485,18161.85286263478,55.68367237772185,0,1,test
208,Punjab,1,6,69091.00599784573,55715.260628727934,86.21116242873754,0,0,train
209,Punjab,0,7,32965.55756702558,34564.38217224272,105.98940061858531,1,1,test
210,Punjab,0,6,31059.100028033932,29899.840337895825,60.333952190671404,1,1,train
211,Punjab,0,2,28168.630315134196,24722.879824993186,82.39977581877832,0,1,train
212,Sindh,0,3,11423.971448830325,7345.55613219922,30.792169897340678,0,1,test
213,Punjab,0,8,215006.01432586016,182982.1657136715,295.5693071727279,0,0,train
214,Punjab,0,9,11764.400775282887,7826.660672300217,109.42533848428796,0,1,test
215,Punjab,1,4,25249.921518498908,24923.200109160185,44.649276518798814,0,1,train
216,Khyber Pakhtunkhwa,0,2,20991.041304698407,20625.908447189664,71.42598739131552,1,1,train
217,Sindh,0,6,26085.113776708593,20952.143703565303,110.33273847973868,0,1,train
218,Punjab,1,2,16021.913666588363,11105.477325551621,24.733606082877714,0,1,test
219,Punjab,1,3,34157.519265877374,35753.216303883215,22.140243876153953,0,1,train
220,Khyber Pakhtunkhwa,0,1,33679.58849245833,28926.397514141387,71.13605196776824,0,1,train
221,Punjab,0,7,21121.539256420958,18976.539454727423,83.74153589691369,0,1,train
222,Punjab,0,4,12622.819982056564,4854.2665278218665,42.51692710948686,0,1,test
223,Punjab,0,8,80503.3629357084,68738.15791078615,150.662413599119,1,0,test
224,Balochistan,1,3,18073.509044034123,15903.40020645788,63.3802359159056,1,1,train
225,Punjab,0,4,6607.85159060064,3000,10,0,1,train
226,Khyber Pakhtunkhwa,1,4,32560.512045921067,26662.783467787303,40.437005859818264,0,1,train
227,Punjab,0,8,26772.516416211118,24355.26634188224,115.18673874239066,0,1,test
228,Punjab,1,6,7276.371951805849,3000,46.48870502181359,0,1,train
229,Punjab,0,6,32627.41117107528,37694.38151359389,120.79355089404534,0,1,train
230,Punjab,0,6,23291.76320225203,18017.916464779893,53.06303413842015,0,1,train
231,Punjab,0,6,211798.23885199593,188000.0056025464,260.33095749278493,0,0,test
232,Punjab,1,7,35205.21729347637,35100.03814325719,124.00397718482456,0,1,train
233,Punjab,1,6,24118.899298131764,20699.437220111744,85.87686690826101,1,1,train
234,Punjab,1,3,47055.83764112224,33217.312811392665,68.24391571191944,0,0,train
235,Islamabad,0,3,16282.865573071596,18058.045747154636,75.69216891614249,0,1,test
236,Khyber Pakhtunkhwa,1,2,60893.33918587846,50291.69998085183,63.02713705138863,1,0,test
237,Punjab,1,4,101137.79906398708,90633.91399202301,91.05874406532686,1,0,train
238,Khyber Pakhtunkhwa,1,1,31196.989665133435,22588.583787601914,10,0,1,train
239,Sindh,1,2,64807.95776690084,59752.094462110166,67.00509691306812,1,0,train
240,Punjab,1,2,23382.418648428735,20291.27696904896,56.95458039790064,0,1,test
241,Punjab,0,2,20513.647405033335,14738.124222213688,37.012994414455164,0,1,train
242,Sindh,0,13,23617.340267687458,16640.28781334428,127.75199480993004,1,1,train
243,Punjab,1,5,34355.17435939645,28744.95818886193,90.40261196806867,1,1,test
244,Punjab,1,10,65367.15389951404,58908.23430607301,77.36424778303845,1,0,train
245,Punjab,1,2,42685.29997537925,35913.398855794796,23.91561687312137,1,0,train
246,Punjab,0,3,36710.59977185881,37437.09193513025,28.335460439954247,0,1,train
247,Punjab,1,4,35701.212981705095,29972.533133498207,123.01017329187013,1,1,test
248,Punjab,0,9,34633.18981136821,33669.70733644452,152.631778667871,0,1,train
249,Punjab,1,2,22061.799490639496,25107.883401930572,50.05810520521797,1,1,test
250,Balochistan,1,2,24759.6254820655,21190.713648308963,70.35066180066433,0,1,train
251,Punjab,0,8,18944.200585695522,22262.460020083272,113.02756459660414,0,1,train
252,Punjab,0,5,46494.72157181946,41089.56495206913,121.68731389752342,0,0,train
253,Punjab,1,6,13516.537528853309,8952.489059265492,10,1,1,train
254,Punjab,1,6,12838.211632686844,7751.847361969334,103.85713687648979,1,1,train
255,Punjab,0,3,22341.06844129409,20395.86265349617,110.28279406453018,0,1,train
256,Khyber Pakhtunkhwa,0,10,50981.288355827535,41276.48778368409,169.36770683977372,0,0,train
257,Punjab,0,6,111447.01040143357,88983.24574913697,141.16886131775274,1,0,train
258,Punjab,0,5,12177.320898247455,12290.535293089253,10,0,1,train
259,Sindh,0,7,18172.39114270255,18124.37839562481,83.57982186128629,0,1,test
260,Sindh,1,5,11503.722702717912,12592.758751407366,56.181189299377465,1,1,train
261,Sindh,0,2,75218.33510111268,60256.02604970365,81.63587260960465,0,0,train
262,Punjab,0,2,24920.44836480565,18506.569317374328,33.57918544475336,0,1,train
263,Punjab,1,4,48133.86449445246,46249.33790146819,22.148053464215906,1,0,train
264,Balochistan,1,7,24887.51663940291,23687.319302648604,85.56661901002819,0,1,train
265,Punjab,0,5,53594.45194839539,39385.200479208754,105.43530484058135,0,0,train
266,Punjab,0,8,104192.45674756913,83576.24742358009,175.0760541132333,1,0,test
267,Khyber Pakhtunkhwa,1,6,9551.133067846178,6776.546548345292,53.20541252337721,1,1,train
268,Punjab,0,3,38260.596280770915,32498.1320161631,24.02683235252094,0,1,train
269,Khyber Pakhtunkhwa,0,3,23249.23236182058,20744.962737750724,55.06331336218112,1,1,train
270,Khyber Pakhtunkhwa,0,4,35840.71821500464,29364.244430464667,48.13253582716756,0,1,train
271,Punjab,0,6,41310.47480628846,30947.542537085097,90.62785750133467,0,0,test
272,Khyber Pakhtunkhwa,1,2,11518.675472787336,9896.305439437849,61.62729434334072,0,1,train
273,Punjab,1,4,23224.923653031907,19675.31007370158,33.580171122385366,1,1,train
274,Punjab,1,5,31812.33715523418,33995.34949281516,86.60764052129805,0,1,test
275,Khyber Pakhtunkhwa,1,4,22339.411652282106,22707.064227032453,33.166479653278614,1,1,train
276,Punjab,1,6,18500.439386911126,16164.271598743433,112.93234737567076,0,1,test
277,Punjab,0,2,41984.715398732034,31002.815475464173,55.1593931090291,0,0,train
278,Punjab,0,4,25800.75404929289,21579.399673678254,54.00305054251891,1,1,test
279,Punjab,0,1,33380.778989642335,32091.970713786246,10,1,1,test
280,Punjab,0,3,17653.949515383123,11233.611768804923,37.847541007917464,0,1,train
281,Punjab,0,4,22415.513427888378,14174.633489606855,36.16013569362558,1,1,test
282,Punjab,1,6,80051.04190083647,67516.14553999403,145.54357294514884,0,0,test
283,Punjab,0,9,16895.07022128393,13939.383060391721,104.65577850324628,0,1,train
284,Balochistan,0,3,26721.195346918365,25790.725974930006,65.43122626640618,1,1,train
285,Punjab,1,6,50131.660413585676,36543.79153105587,124.05451502283556,0,0,train
286,Punjab,0,6,52415.28435246088,40292.79477999672,71.52533476203064,1,0,test
287,Punjab,1,3,47221.551558138366,44291.098002670085,30.763121785051325,1,0,train
288,Punjab,1,8,48726.35904085014,39505.81171106711,148.1736401954732,1,0,train
289,Punjab,0,5,44788.761614174895,41306.65682667901,69.59590561634501,0,0,train
290,Punjab,1,4,9318.231541188285,7634.816530841477,93.85381662498797,1,1,train
291,Khyber Pakhtunkhwa,0,1,26375.245995140198,26529.425882388052,10,1,1,train
292,Sindh,0,9,46656.796124783024,35278.474751856476,168.7709624888397,1,0,train
293,Punjab,1,7,20948.62212567276,20087.79298155594,156.4063885417303,0,1,train
294,Punjab,1,3,13093.04064012365,12656.639878914388,132.5734572804577,0,1,train
295,Punjab,1,4,48886.905075500945,31977.977527640865,113.6396569708436,0,0,test
296,Punjab,0,5,49894.539628549945,34832.183709198944,125.1734711855068,0,0,train
297,Sindh,0,2,33768.21768597348,30935.471994805714,67.873797807976,0,1,train
298,Sindh,1,3,15701.509366390423,13547.739606050396,39.79471003277027,0,1,test
299,Punjab,0,2,20863.98157608467,18273.104731116593,19.113637054568464,0,1,train
300,Punjab,0,8,87494.3939749926,60949.56644982531,120.2076975390162,0,0,test
301,Punjab,0,9,98804.69258152427,83471.11272649602,180.299604752809,1,0,train
302,Punjab,1,3,58363.546882685536,42425.28886789802,121.30924238250998,1,0,test
303,Punjab,0,4,54333.46543532182,42994.065547632876,56.47722599173457,1,0,train
304,Punjab,0,2,45526.79424396617,39074.253534534364,58.9802508493589,0,0,train
305,Khyber Pakhtunkhwa,0,5,8997.063598148243,8545.457701352403,65.05659342244162,0,1,train
306,Khyber Pakhtunkhwa,1,3,25699.971028169184,23398.17943539626,55.77153773587339,0,1,test
307,Punjab,0,2,34213.17981633223,34141.32178377638,39.963494945861264,1,1,train
308,Punjab,0,5,39950.4924702311,34971.320261024746,73.41136562767032,1,1,train
309,Punjab,1,4,30223.018149582324,26774.416676373934,11.581662471860824,0,1,train
310,Punjab,0,6,8029.678162094081,3000,92.36966909697588,1,1,train
311,Punjab,0,8,42550.68736132449,30664.89484709479,155.26523865299544,0,0,test
312,Balochistan,0,7,42244.17500187478,28145.543009747198,118.7906580887313,0,0,train
313,Punjab,1,3,25669.344413529092,18923.33147877214,61.62755913769494,1,1,train
314,Punjab,1,1,19574.86894019096,20275.00253713528,26.235164025006593,1,1,train
315,Punjab,1,4,10826.379493219109,9247.070385804296,10,0,1,train
316,Khyber Pakhtunkhwa,1,3,20362.38571531366,18921.54224591751,95.72692397124057,0,1,train
317,Punjab,1,9,7365.331459747939,6776.3375094651465,74.98064036440005,0,1,train
318,Sindh,1,6,109538.77401093407,89188.92029002415,150.71435121370396,0,0,test
319,Khyber Pakhtunkhwa,0,4,16009.416285839392,13736.95207875897,39.992762916202395,0,1,train
320,Islamabad,1,2,67105.31206846247,57454.68589488617,103.05994996700736,0,0,train
321,Punjab,1,9,23040.69736643234,23347.850641469966,141.08576234855784,1,1,test
322,Punjab,1,5,22060.859868216357,17904.09291657562,71.39884973112471,1,1,train
323,Punjab,0,4,17526.68484908685,13412.52964418724,28.382244004040043,1,1,train
324,Punjab,1,9,28187.199729808835,21123.985550012832,103.0471937750394,1,1,train
325,Sindh,0,3,27839.6162212682,15949.452517144517,28.308779114497643,0,1,train
326,Khyber Pakhtunkhwa,0,8,37033.93362507273,30353.551929956368,127.14743083429124,0,1,test
327,Punjab,0,5,29543.685017953783,22476.463063708452,64.04703242770326,1,1,train
328,Khyber Pakhtunkhwa,1,8,46724.442840916265,36712.50067648495,104.74937925873645,1,0,test
329,Sindh,1,4,126324.97608905465,95883.09601880106,162.85501626359937,0,0,train
